Rank,TeamName,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,SOS OppO,SOS OppD,NCSOS AdjEM
1,Gonzaga,WCC,32-1,33.05,120.7,87.6,69.8,0.016,0.61,104.9,104.2,0.72
2,Villanova,BE,31-3,30.78,122.7,92,63.8,0.026,9.98,110.1,100.1,4.24
3,North Carolina,ACC,27-7,28.01,122.1,94.1,70.4,0.006,12.14,111.6,99.5,4.11
4,Kentucky,SEC,29-5,27.27,119.2,91.9,72.5,0.008,9.79,109.4,99.6,3.93
5,West Virginia,B12,26-8,26.8,116.5,89.7,69.6,-0.043,9.77,109.3,99.5,-7.91
6,Louisville,ACC,24-8,26.72,117.1,90.4,67.7,-0.011,12.2,111.9,99.7,4.62
7,Virginia,ACC,22-10,26.67,113.7,87,58.6,-0.051,12.15,111.4,99.2,2.75
8,Wichita St.,MVC,30-4,26.41,119.6,93.2,68.4,-0.014,0.65,104.3,103.6,-0.03
9,Florida,SEC,24-8,26.39,115.9,89.5,68.6,-0.046,11.61,110.1,98.5,8.86
10,Kansas,B12,28-4,25.98,120.8,94.9,70,0.074,12.26,111.1,98.8,2.75
11,SMU,Amer,30-4,25.27,120.1,94.8,63.3,0.02,3.15,104.9,101.8,-1.15
12,Duke,ACC,27-8,25.09,121,95.9,67.7,0.027,12.39,111.5,99.1,0.06
13,Baylor,B12,25-7,25.01,117.3,92.3,62.8,0.002,12.77,111.3,98.5,1.64
14,Saint Mary's,WCC,28-4,24.64,119,94.3,59.1,0.034,-0.28,104,104.3,-4.27
15,Purdue,B10,25-7,24.22,116.9,92.7,68.7,-0.023,8.06,108.8,100.7,-1.94
16,Oregon,P12,29-5,23.83,117.7,93.9,66.5,0.036,6.41,107.8,101.4,0.69
17,Iowa St.,B12,23-10,23.11,119.6,96.4,67.9,-0.01,13.66,112.1,98.4,-0.28
18,UCLA,P12,29-4,22.95,122.7,99.8,72.9,0.024,4.05,107.3,103.2,-4.4
19,Florida St.,ACC,25-8,22.74,116.7,94,70.5,0.023,9.69,110.9,101.2,-3.61
20,Arizona,P12,30-4,22.74,117.6,94.8,65.5,0.064,6.6,108.1,101.5,1.53
21,Michigan,B10,24-11,22.62,121.6,99,62.6,-0.031,9.68,109.2,99.5,-0.27
22,Cincinnati,Amer,29-5,22.32,114.2,91.9,63.5,0.029,3.56,106.5,103,-0.22
23,Wisconsin,B10,25-9,22.29,113.6,91.3,63.1,0,9.09,109.9,100.8,-0.96
24,Oklahoma St.,B12,20-12,22.1,124.8,102.7,70,-0.056,13.97,111.6,97.6,2.99
25,Notre Dame,ACC,25-9,21.09,118.9,97.8,66.9,0.021,10.64,110.2,99.6,-3.97
26,Butler,BE,23-8,20.91,118,97.1,65.1,-0.001,10.72,110.6,99.8,5.3
27,Creighton,BE,25-9,19.59,115.6,96,70.6,0.009,8.98,110.2,101.2,-1.3
28,Marquette,BE,19-12,17.57,121,103.4,69.7,-0.062,8.94,109.1,100.1,-1.84
29,Kansas St.,B12,20-13,17.55,112,94.5,65.9,-0.04,10.97,109.9,99,-4.88
30,Wake Forest,ACC,19-13,17.28,120.9,103.6,70.2,-0.035,11.2,111.3,100.1,4.72
31,South Carolina,SEC,22-10,17.03,105.5,88.5,67.9,-0.004,8.49,108.7,100.2,2.4
32,Miami FL,ACC,21-11,16.96,110.4,93.4,62.8,0.03,10.12,111,100.9,-4.07
33,Minnesota,B10,24-9,16.59,109.5,93,69.1,0.028,8.15,108.8,100.6,-1.38
34,Vanderbilt,SEC,19-15,16.24,112.3,96.1,65.3,-0.035,11.16,109.9,98.7,6.58
35,Clemson,ACC,17-15,15.88,115.9,100,66,-0.053,11.52,111.2,99.7,2.16
36,Dayton,A10,24-7,15.67,112.3,96.6,68.3,-0.011,3.38,105.6,102.2,2.9
37,Rhode Island,A10,24-9,15.62,110.7,95,65.9,-0.024,3.67,106.3,102.6,1.99
38,Arkansas,SEC,25-9,15.6,116.6,101,69.1,0.093,7.54,107.9,100.4,-1.19
39,Northwestern,B10,23-11,15.51,111.2,95.7,64.9,0.021,7.76,108.6,100.8,-2.83
40,Xavier,BE,21-13,15.32,114.8,99.5,66.9,0.03,11.06,110.8,99.7,5.78
41,TCU,B12,19-15,15.29,113.2,97.9,66.6,-0.028,12.13,111.2,99,-2.92
42,Indiana,B10,18-15,15.14,116.6,101.5,68,-0.085,9.15,109.6,100.5,-5.03
43,Michigan St.,B10,19-14,14.98,110.6,95.6,66.5,-0.012,10.67,110.2,99.5,4.19
44,Virginia Tech,ACC,22-10,14.94,117.4,102.5,68.1,0.061,8.78,110.2,101.4,-7.66
45,Maryland,B10,24-8,14.83,113.6,98.8,66.8,0.064,7.66,107.9,100.3,-0.94
46,Texas Tech,B12,18-14,14.75,112.5,97.8,63.4,-0.082,7.76,109.1,101.3,-11.47
47,Utah,P12,20-11,14.74,114.2,99.5,68.2,-0.087,3.49,105.8,102.4,-6.25
48,Middle Tennessee,CUSA,30-4,14.65,111.6,97,64,0.012,-1.72,103.9,105.6,4.12
49,Houston,Amer,21-10,14.47,114,99.5,64.7,-0.017,2.84,104.9,102.1,-3.01
50,Syracuse,ACC,18-14,14.35,115.9,101.5,66.1,-0.044,8.51,108.6,100.1,-3.15
51,Illinois St.,MVC,27-6,14.33,106.6,92.3,64.4,0.101,1.41,105,103.6,-0.35
52,VCU,A10,26-8,14.31,110,95.7,67.9,0.036,3.6,105.5,101.9,1.12
53,Seton Hall,BE,21-11,13.95,109.8,95.9,67,0.071,9.7,109.9,100.2,-2.12
54,Alabama,SEC,19-14,13.49,105.4,91.9,64.7,-0.048,7.35,108,100.7,-0.98
55,Nevada,MWC,28-6,13.34,114.5,101.2,69.4,0.059,0.82,104,103.2,-0.96
56,Providence,BE,20-12,12.9,108.1,95.2,66.1,0.027,8.2,109.1,100.9,-4.06
57,Georgia,SEC,19-14,12.83,108.7,95.9,66.7,0.021,11.14,109.7,98.6,4.98
58,California,P12,21-12,12.72,104.8,92.1,65.1,-0.001,5.28,107.3,102.1,-2.27
59,Princeton,Ivy,23-6,12.5,109.4,96.9,62.9,0.025,-1.46,103.4,104.8,2.5
60,UNC Wilmington,CAA,29-5,12.39,117.8,105.4,69.9,0.051,0.15,105,104.9,2.46
