gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,team_alive,team_id,team_name,team_rating,team_region,team_seed
mens,2016-03-14,0,1.0,0.99027066,0.86031066,0.68679352,0.45395194,0.32169925,0.19203143,1,2305,Kansas,94.46,South,1
mens,2016-03-14,0,1.0,0.98853534,0.90950657,0.60925768,0.43642396,0.25887628,0.14950862,1,153,North Carolina,93.94,East,1
mens,2016-03-14,0,1.0,0.98257765,0.80380925,0.51767831,0.30355732,0.17223795,0.09811935,1,258,Virginia,92.46,Midwest,1
mens,2016-03-14,0,1.0,0.9485191,0.77629788,0.59476162,0.33937835,0.17270088,0.08932933,1,127,Michigan State,91.84,Midwest,2
mens,2016-03-14,0,1.0,0.95858319,0.82132961,0.53341957,0.31970067,0.14293329,0.0681368,1,201,Oklahoma,89.96,West,2
mens,2016-03-14,0,1.0,0.96293972,0.76701243,0.47270538,0.22288762,0.13243396,0.06396521,1,222,Villanova,91.29,South,2
mens,2016-03-14,0,1.0,0.92530662,0.61058029,0.25123833,0.15873487,0.08473556,0.04440804,1,96,Kentucky,90.69,East,4
mens,2016-03-14,0,1.0,0.84810393,0.63003359,0.3985091,0.16156641,0.07438766,0.03410106,1,277,West Virginia,89.3,East,3
mens,2016-03-14,0,1.0,0.8419116,0.51862565,0.24470148,0.12956658,0.05802096,0.02682613,1,2509,Purdue,88.68,Midwest,5
mens,2016-03-14,0,1.0,0.97687859,0.72203287,0.43961241,0.22636162,0.0724232,0.02578435,1,2483,Oregon,88.0,West,1
mens,2016-03-14,0,1.0,0.88231513,0.5494919,0.24167014,0.12413686,0.05236923,0.02373627,1,245,Texas A&M,86.82,West,3
mens,2016-03-14,0,1.0,0.5346827,0.33209294,0.15258642,0.06227891,0.03739231,0.0182786,1,12,Arizona,89.04,South,6
mens,2016-03-14,0,1.0,0.94127341,0.59532198,0.29417482,0.09856106,0.04215533,0.01808939,1,2752,Xavier,87.73,East,2
mens,2016-03-14,0,1.0,0.84597916,0.54298653,0.26249249,0.12109972,0.04351899,0.01715358,1,150,Duke,87.33,West,4
mens,2016-03-14,0,1.0,0.79464229,0.46029038,0.14219176,0.06582705,0.0331088,0.01328102,1,120,Maryland,87.37,South,5
mens,2016-03-14,0,1.0,0.87683343,0.35794705,0.10951496,0.0576697,0.02564762,0.01139736,1,84,Indiana,87.36,East,5
mens,2016-03-14,0,1.0,0.85764429,0.36991532,0.14398713,0.05028985,0.02585751,0.01062392,1,2390,Miami (FL),87.05,South,3
mens,2016-03-14,0,1.0,0.84070229,0.40173385,0.14743067,0.06397299,0.02509005,0.01033137,1,66,Iowa State,86.5,Midwest,4
mens,2016-03-14,0,1.0,0.61274924,0.27071246,0.13099527,0.060489,0.02385836,0.01019922,1,239,Baylor,85.47,West,5
mens,2016-03-14,0,1.0,0.70010916,0.32721314,0.12683644,0.05881695,0.02136649,0.00850177,1,251,Texas,84.66,West,6
mens,2016-03-14,0,1.0,0.87009917,0.4955672,0.15469945,0.05296992,0.02032035,0.00820728,1,254,Utah,86.64,Midwest,3
mens,2016-03-14,1,0.50586626,0.24007144,0.14490973,0.066134,0.0268207,0.01551146,0.00726422,1,2724,Wichita State,86.59,South,11b
mens,2016-03-14,0,1.0,0.72194021,0.18532737,0.08927356,0.03209729,0.01581915,0.00620763,1,2294,Iowa,85.91,South,7
mens,2016-03-14,1,0.49413374,0.22524586,0.13245678,0.06198206,0.02574175,0.01366957,0.00581863,1,238,Vanderbilt,85.59,South,11a
mens,2016-03-14,0,1.0,0.83441016,0.43430911,0.08968276,0.03024262,0.01354219,0.00479761,1,25,California,85.62,South,4
mens,2016-03-14,0,1.0,0.60181899,0.30534,0.09376385,0.03161595,0.01166896,0.0045566,1,2250,Gonzaga,85.96,Midwest,11
mens,2016-03-14,0,1.0,0.62883547,0.27120281,0.10943365,0.02887316,0.01059594,0.00396558,1,275,Wisconsin,84.75,East,7
mens,2016-03-14,0,1.0,0.65620848,0.22387739,0.10096272,0.02641704,0.00934835,0.00338691,1,87,Notre Dame,84.36,East,6
mens,2016-03-14,0,1.0,0.63662767,0.09951278,0.05435213,0.02125265,0.00944362,0.00331856,1,41,Connecticut,85.32,South,9
mens,2016-03-14,0,1.0,0.60648609,0.18259449,0.08393883,0.03188932,0.00930172,0.0030526,1,2132,Cincinnati,83.7,West,9
mens,2016-03-14,0,1.0,0.66939449,0.14723674,0.06305958,0.02494155,0.00841967,0.00304081,1,2086,Butler,84.17,Midwest,9
mens,2016-03-14,0,1.0,0.39818101,0.1714058,0.05331916,0.01819683,0.00630266,0.00232804,1,2550,Seton Hall,84.46,Midwest,6
mens,2016-03-14,0,1.0,0.73443704,0.13989595,0.05707852,0.02168932,0.00567012,0.00168863,1,2670,Virginia Commonwealth,83.05,West,10
mens,2016-03-14,0,1.0,0.52355784,0.11287306,0.05315441,0.01567429,0.00449066,0.00140395,1,2168,Dayton,82.37,Midwest,7
mens,2016-03-14,0,1.0,0.47644216,0.09734414,0.04430409,0.01255474,0.00359924,0.0011259,1,183,Syracuse,82.69,Midwest,10
mens,2016-03-14,0,1.0,0.37116453,0.12546356,0.04765302,0.01173387,0.00353829,0.00111104,1,221,Pittsburgh,82.29,East,10
mens,2016-03-14,0,1.0,0.39351391,0.09322671,0.03568588,0.0112186,0.00263293,0.00071213,1,2603,Saint Joseph's,81.61,West,8
